## {'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'arcmin', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi      weight       npairs   
  7.1516e+01   7.1576e+01   4.2707e+00   1.1758e-11   6.7150e-13   1.6946e+09   1.6946e+09
  7.5093e+01   7.5119e+01   4.3190e+00   8.7384e-12   6.4200e-13   1.8539e+09   1.8539e+09
  7.8850e+01   7.8891e+01   4.3680e+00   1.6767e-12   6.1178e-13   2.0416e+09   2.0416e+09
  8.2795e+01   8.2841e+01   4.4168e+00   7.5135e-13   5.8830e-13   2.2078e+09   2.2078e+09
  8.6937e+01   8.6978e+01   4.4656e+00   2.0407e-12   5.5521e-13   2.4787e+09   2.4787e+09
  9.1286e+01   9.1329e+01   4.5144e+00  -5.7987e-12   5.2892e-13   2.7313e+09   2.7313e+09
  9.5853e+01   9.5904e+01   4.5633e+00   6.4534e-12   5.0354e-13   3.0135e+09   3.0135e+09
  1.0065e+02   1.0071e+02   4.6121e+00   2.0617e-13   4.8030e-13   3.3123e+09   3.3123e+09
  1.0568e+02   1.0575e+02   4.6610e+00   3.8281e-12   4.5696e-13   3.6592e+09   3.6592e+09
  1.1097e+02   1.1104e+02   4.7098e+00   8.2743e-12   4.3514e-13   4.0353e+09   4.0353e+09
  1.1652e+02   1.1659e+02   4.7585e+00   5.4200e-12   4.1547e-13   4.4266e+09   4.4266e+09
  1.2235e+02   1.2242e+02   4.8073e+00   6.6085e-12   3.9537e-13   4.8882e+09   4.8882e+09
  1.2847e+02   1.2855e+02   4.8562e+00   1.4936e-12   3.7635e-13   5.3945e+09   5.3945e+09
  1.3490e+02   1.3496e+02   4.9049e+00   3.6239e-12   3.5844e-13   5.9472e+09   5.9472e+09
  1.4165e+02   1.4173e+02   4.9538e+00   1.1621e-11   3.4090e-13   6.5750e+09   6.5750e+09
  1.4873e+02   1.4882e+02   5.0026e+00   4.3830e-12   3.2534e-13   7.2187e+09   7.2187e+09
  1.5617e+02   1.5627e+02   5.0515e+00  -7.6243e-13   3.0916e-13   7.9940e+09   7.9940e+09
  1.6399e+02   1.6410e+02   5.1004e+00  -3.5238e-12   2.9480e-13   8.7919e+09   8.7919e+09
  1.7219e+02   1.7231e+02   5.1492e+00   2.4028e-12   2.8060e-13   9.7042e+09   9.7042e+09
  1.8081e+02   1.8093e+02   5.1980e+00   6.0433e-12   2.6736e-13   1.0690e+10   1.0690e+10
  1.8985e+02   1.8998e+02   5.2468e+00   2.6222e-12   2.5468e-13   1.1780e+10   1.1780e+10
  1.9935e+02   1.9949e+02   5.2957e+00   3.5013e-12   2.4244e-13   1.3000e+10   1.3000e+10
  2.0932e+02   2.0947e+02   5.3445e+00   4.5954e-12   2.3094e-13   1.4327e+10   1.4327e+10
  2.1979e+02   2.1995e+02   5.3933e+00   1.0188e-11   2.1974e-13   1.5824e+10   1.5824e+10
  2.3079e+02   2.3096e+02   5.4421e+00   6.4089e-12   2.0946e-13   1.7416e+10   1.7416e+10
  2.4233e+02   2.4251e+02   5.4910e+00   2.5688e-12   1.9953e-13   1.9193e+10   1.9193e+10
  2.5446e+02   2.5464e+02   5.5398e+00  -2.7979e-12   1.9007e-13   2.1151e+10   2.1151e+10
  2.6719e+02   2.6739e+02   5.5886e+00  -3.9009e-12   1.8114e-13   2.3288e+10   2.3288e+10
  2.8055e+02   2.8076e+02   5.6374e+00  -1.7261e-12   1.7219e-13   2.5772e+10   2.5772e+10
  2.9459e+02   2.9482e+02   5.6863e+00  -8.7638e-13   1.6394e-13   2.8431e+10   2.8431e+10
  3.0933e+02   3.0957e+02   5.7351e+00  -9.3993e-13   1.5642e-13   3.1228e+10   3.1228e+10
  3.2480e+02   3.2507e+02   5.7839e+00   1.7491e-12   1.4893e-13   3.4450e+10   3.4450e+10
  3.4105e+02   3.4135e+02   5.8328e+00   4.2318e-12   1.4158e-13   3.8118e+10   3.8118e+10
  3.5811e+02   3.5845e+02   5.8817e+00   1.0131e-13   1.3491e-13   4.1983e+10   4.1983e+10
  3.7603e+02   3.7641e+02   5.9306e+00   4.1665e-12   1.2862e-13   4.6189e+10   4.6189e+10
  3.9484e+02   3.9527e+02   5.9795e+00   3.4255e-12   1.2238e-13   5.1017e+10   5.1017e+10
  4.1459e+02   4.1506e+02   6.0283e+00   2.8227e-12   1.1660e-13   5.6200e+10   5.6200e+10
  4.3533e+02   4.3583e+02   6.0771e+00   4.4955e-12   1.1112e-13   6.1877e+10   6.1877e+10
  4.5711e+02   4.5767e+02   6.1261e+00   2.5897e-13   1.0565e-13   6.8458e+10   6.8458e+10
  4.7998e+02   4.8062e+02   6.1750e+00   1.5848e-12   1.0069e-13   7.5361e+10   7.5361e+10
  5.0399e+02   5.0470e+02   6.2239e+00   3.4163e-12   9.5938e-14   8.3017e+10   8.3017e+10
  5.2921e+02   5.3000e+02   6.2728e+00   7.2214e-13   9.1299e-14   9.1668e+10   9.1668e+10
  5.5568e+02   5.5657e+02   6.3217e+00   9.7044e-13   8.6940e-14   1.0109e+11   1.0109e+11
  5.8348e+02   5.8445e+02   6.3706e+00  -1.2344e-12   8.3036e-14   1.1082e+11   1.1082e+11
  6.1267e+02   6.1380e+02   6.4196e+00  -8.5892e-13   7.8795e-14   1.2307e+11   1.2307e+11
  6.4332e+02   6.4458e+02   6.4685e+00   1.4711e-12   7.5174e-14   1.3521e+11   1.3521e+11
  6.7550e+02   6.7693e+02   6.5175e+00   1.8784e-13   7.1455e-14   1.4965e+11   1.4965e+11
  7.0930e+02   7.1093e+02   6.5665e+00  -2.0931e-14   6.8225e-14   1.6416e+11   1.6416e+11
  7.4478e+02   7.4660e+02   6.6154e+00  -8.0123e-14   6.4949e-14   1.8113e+11   1.8113e+11
  7.8204e+02   7.8409e+02   6.6644e+00   5.0876e-13   6.1752e-14   2.0038e+11   2.0038e+11
  8.2116e+02   8.2354e+02   6.7135e+00   1.7966e-12   5.8837e-14   2.2072e+11   2.2072e+11
  8.6224e+02   8.6496e+02   6.7626e+00   7.9354e-13   5.6158e-14   2.4228e+11   2.4228e+11
  9.0538e+02   9.0843e+02   6.8116e+00  -1.7340e-13   5.3342e-14   2.6854e+11   2.6854e+11
  9.5067e+02   9.5418e+02   6.8608e+00   5.8888e-13   5.0819e-14   2.9587e+11   2.9587e+11
  9.9823e+02   1.0023e+03   6.9099e+00   9.5960e-13   4.8447e-14   3.2554e+11   3.2554e+11
  1.0482e+03   1.0528e+03   6.9591e+00   1.6084e-12   4.6085e-14   3.5978e+11   3.5978e+11
  1.1006e+03   1.1060e+03   7.0084e+00   3.5135e-13   4.3927e-14   3.9598e+11   3.9598e+11
  1.1557e+03   1.1617e+03   7.0576e+00   9.9352e-13   4.1824e-14   4.3680e+11   4.3680e+11
  1.2135e+03   1.2205e+03   7.1069e+00   1.2525e-13   3.9818e-14   4.8194e+11   4.8194e+11
  1.2742e+03   1.2822e+03   7.1563e+00  -3.6381e-13   3.8012e-14   5.2882e+11   5.2882e+11
  1.3379e+03   1.3472e+03   7.2057e+00  -1.1935e-12   3.6064e-14   5.8748e+11   5.8748e+11
  1.4049e+03   1.4155e+03   7.2552e+00  -3.4973e-13   3.4412e-14   6.4527e+11   6.4527e+11
  1.4751e+03   1.4874e+03   7.3047e+00  -1.7097e-13   3.2780e-14   7.1108e+11   7.1108e+11
  1.5489e+03   1.5632e+03   7.3544e+00   6.1486e-13   3.1206e-14   7.8466e+11   7.8466e+11
  1.6264e+03   1.6428e+03   7.4041e+00   3.6534e-13   2.9699e-14   8.6626e+11   8.6626e+11
  1.7078e+03   1.7267e+03   7.4539e+00   4.3344e-14   2.8323e-14   9.5251e+11   9.5251e+11
